0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
JLPT-N1	1	眼鏡	めがね	Noun	1.-glasses; eyeglasses; spectacles	2.-judgment; judgement; discrimination; discernment; insight	3.-Megane	4.-Glasses																						
JLPT-N1	2	煙草	たばこ	Noun	1.-tobacco; cigarette; cigaret; cigar	2.-tobacco plant (Nicotiana tabacum)	3.-Tabaco	4.-Tobacco																						
JLPT-N1	3	塩	しお	Noun	1.-salt (i.e. sodium chloride); common salt; table salt	2.-salt (e.g. sodium chloride, calcium sulfate, etc.)	3.-hardship; toil; trouble	4.-saltiness	5.-Salt																					
JLPT-N1	4	黄色	きいろ	Na-adjective, Noun	1.-yellow; amber	2.-Yellow																								
JLPT-N1	5	灰皿	はいざら	Noun	1.-ashtray	2.-Ashtray																								
JLPT-N1	6	可愛い	可愛かわい	I-adjective	1.-cute; adorable; charming; lovely; pretty	2.-dear; precious; darling; pet	3.-innocent; childlike; childish; lovable	4.-dainty; cute little; tiny	5.-Kawaii																					
JLPT-N1	7	音	おと	Noun, Noun - used as a suffix	1.-sound; noise; report	2.-note	3.-fame	4.-Chinese-derived character reading	5.-Sound																					
JLPT-N1	8	赤ちゃん	あか	Noun	1.-baby; infant	2.-Infant																								
JLPT-N1	9	玩具	おもちゃ	Noun	1.-toy; plaything	2.-Toy																								
JLPT-N1	10	商人	しょうにん	Noun	1.-merchant; trader; tradesman; dealer; shopkeeper	2.-Akindo	3.-Merchant																							
JLPT-N1	11	国境	こっきょう	Noun, No-adjective	1.-national border; provincial border	2.-Kunizakai	3.-Border																							
JLPT-N1	12	少女	しょうじょ	Noun	1.-little girl; maiden; young lady; female usually between 7 and 18 years old	2.-female between 17 and 20 years old (ritsuryo period)	3.-Girl																							
JLPT-N1	13	釣り	つ	Noun	1.-fishing; angling	2.-change (for a purchase)	3.-trolling; writing deliberately inflammatory posts online	4.-Angling																						
JLPT-N1	14	銃	じゅう	Noun	1.-gun; rifle; small arms	2.-Firearm																								
JLPT-N1	15	保証	ほしょう	Noun, Suru verb	1.-guarantee; security; assurance; pledge; warranty	2.-Co-signing																								
JLPT-N1	16	年寄り	としよ	Noun, No-adjective	1.-old person; elderly person; senior citizen	2.-trustee of the Japan Sumo Association; retired high-ranking wrestler who is licensed to coach and receives retirement pay	3.-senior statesman (of the Tokugawa shogunate)	4.-important local official (under the Tokugawa Shogunate)	5.-Toshiyori																					
JLPT-N1	17	平均	へいきん	Noun, Suru verb	1.-average; mean	2.-balance; equilibrium	3.-Average																							
JLPT-N1	18	雷	かみなり	Noun	1.-lightning; thunder; thunderbolt	2.-god of thunder; god of lightning	3.-anger; fit of anger	4.-Lightning																						
JLPT-N1	19	位置	いち	Noun, Suru verb	1.-place; situation; position; location	2.-Position (vector)																								
JLPT-N1	20	日付	ひづけ	Noun	1.-date; dating	2.-Calendar date																								
JLPT-N1	21	天皇	てんのう	Noun	1.-Emperor of Japan	2.-Tennou	3.-Emperor of Japan																							
JLPT-N1	22	屡々	しばしば	Adverb	1.-often; again and again; frequently; repeatedly	2.-Number																								
JLPT-N1	23	鼠	ねずみ	Noun	1.-mouse; rat	2.-dark gray; dark grey; slate (color, colour)	3.-Muroidea																							
JLPT-N1	24	良い	よ	I-adjective	1.-good; excellent; fine; nice; pleasant; agreeable	2.-sufficient; enough; ready; prepared	3.-profitable (deal, business offer, etc.); beneficial	4.-OK; all right; fine; no problem																						
JLPT-N1	25	此の	こ	Pre-noun adjectival	1.-this	2.-last (couple of years, etc.); these; past; this	"3.-you (as in ""you liar"")"																							
JLPT-N1	26	誰	だれ	Pronoun	1.-who																									
JLPT-N1	27	作る	つく	Godan verb with ru ending, Transitive verb	1.-to make; to produce; to manufacture; to build; to construct	2.-to prepare (food); to brew (alcohol)	3.-to raise; to grow; to cultivate; to train	4.-to till	5.-to draw up (a document); to make out; to prepare; to write	6.-to create (an artistic work, etc.); to compose	7.-to coin (a phrase); to organize; to organise; to establish; to found	8.-to have (a child)	9.-to make up (one's face, etc.)	10.-to fabricate (an excuse, etc.)	11.-to give a (false) appearance; to feign (a smile, etc.); to put on a show of emotion	12.-to form (a line, etc.)	13.-to set (a record)	14.-to commit (a sin, etc.)												
JLPT-N1	28	貴方	あなた	Pronoun	1.-you (referring to someone of equal or lower status)	2.-dear (what a wife calls a husband)																								
JLPT-N1	29	行く	い	Godan verb - Iku/Yuku special class, intransitive verb	1.-to go; to move (in a direction or towards a specific location); to head (towards); to be transported (towards); to reach	2.-to proceed; to take place	3.-to pass through; to come and go	4.-to walk	5.-to die; to pass away	6.-to do (in a specific way)	7.-to stream; to flow	8.-to continue	9.-to have an orgasm; to come; to cum	10.-to trip; to get high; to have a drug-induced hallucination																
JLPT-N1	30	終わる	お	Godan verb with ru ending, intransitive verb, Auxiliary verb	1.-to end; to come to an end; to close; to finish																									
JLPT-N1	31	何の	ど	Pre-noun adjectival	1.-which; what (way)																									
JLPT-N1	32	余り	あま	Noun, No-adjective	1.-remainder; remnant; rest; balance; surplus; remains (of a meal); leftovers	2.-(not) very; (not) much	3.-too much; excessively; overly	4.-extreme; great; severe; tremendous; terrible	5.-more than; over																					
JLPT-N1	33	面白い	おもしろ	I-adjective	1.-interesting; fascinating; intriguing; enthralling	2.-amusing; funny; comical	3.-enjoyable; fun; entertaining; pleasant; agreeable	4.-good; satisfactory; favourable; desirable; encouraging																						
