0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
JLPT-N3	1	川	かわ	Noun	1.-river; stream	2.-River; the ... river	3.-Gawa	4.-River																
JLPT-N3	2	夜	よる	Noun	1.-evening; night	2.-dinner	3.-Night																	
JLPT-N3	3	散歩	さんぽ	Noun, Suru verb	1.-walk; stroll	2.-Strolling																		
JLPT-N3	4	椅子	いす	Noun	1.-chair; stool	2.-post; office; position	3.-Chair																	
JLPT-N3	5	鍵	かぎ	Noun	1.-key	2.-lock	3.-key (to a problem); clue	4.-Key (lock)																
JLPT-N3	6	風呂	ふろ	Noun	1.-bath; bathing; bathtub; bathroom	2.-bathhouse; public bath	3.-room for drying lacquerware	4.-base (wooden joint connecting the blade of a hoe, spade, etc., to the handle)	5.-Bathtub															
JLPT-N3	7	曇り	くも	Noun	1.-cloudiness; cloudy weather	2.-fog (on a mirror, glasses, etc.); cloud (e.g. in marble); blur; mist; shadow; dimness	3.-gloom; dejection	4.-Overcast																
JLPT-N3	8	成る	な	Godan verb with ru ending, intransitive verb	1.-to become; to get; to grow; to be; to reach; to attain	2.-to result in; to prove to be	3.-to consist of; to be composed of	4.-to succeed; to be complete	5.-to change into; to be exchanged for	6.-to play a role	7.-to be promoted	8.-to do ...	9.-Naru											
JLPT-N3	9	程	ほど	Noun	1.-extent; degree; measure	2.-limit; bounds	3.-(span of) time	4.-(a) distance	5.-the state of; the status of; the condition of	6.-about; around; approximately; or so	7.-as much as ...; to the extent of ...; like ...	8.-the more ... the more ...												
JLPT-N3	10	船	ふね	Noun	1.-ship; boat; watercraft; vessel; seaplane	2.-tank; tub; vat; trough	3.-counter for boat-shaped containers (e.g. of sashimi)	4.-Ship																
JLPT-N3	11	音	おと	Noun, Noun - used as a suffix	1.-sound; noise; report	2.-note	3.-fame	4.-Chinese-derived character reading	5.-Sound															
JLPT-N3	12	故障	こしょう	Noun, Suru verb	1.-breakdown; failure; fault; accident; out of order	2.-damage; hurt	3.-objection; protest	4.-Failure																
