0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
JLPT-N4	1	上げる	あ	Ichidan verb, Transitive verb	1.-to raise; to elevate	2.-to do up (one's hair)	3.-to fly (a kite, etc.); to launch (fireworks, etc.); to surface (a submarine, etc.)	4.-to land (a boat)	5.-to deep-fry	6.-to show someone (into a room)	7.-to give	8.-to send someone (away)	9.-to enrol (one's child in school); to enroll	10.-to increase (price, quality, status, etc.); to develop (talent, skill); to improve	11.-to make (a loud sound); to raise (one's voice)	12.-to earn (something desirable)	13.-to praise	14.-to give (an example, etc.); to cite	15.-to summon up (all of one's energy, etc.)	16.-to arrest	17.-to nominate	18.-to summon (for geishas, etc.)	19.-to offer up (incense, a prayer, etc.) to the gods (or Buddha, etc.)	20.-to bear (a child)	21.-to conduct (a ceremony, esp. a wedding)	22.-(of the tide) to come in	23.-to vomit	24.-to do for (the sake of someone else)	25.-to complete ...	26.-to humbly do ...	27.-Deep frying
JLPT-N4	2	腕	うで	Noun	1.-arm	2.-skill; efforts; ability	3.-Ude	4.-Arm																							
JLPT-N4	3	人形	にんぎょう	Noun	1.-doll; puppet; figure	2.-Ningyou	3.-Doll																								
JLPT-N4	4	文化	ぶんか	Noun	1.-culture; civilization; civilisation	2.-Bunka era (1804.2.11-1818.4.22)	3.-Bunka	4.-Culture																							
JLPT-N4	5	海岸	かいがん	Noun, No-adjective	1.-coast; beach	2.-Kaigan	3.-Coast																								
JLPT-N4	6	産業	さんぎょう	Noun, No-adjective	1.-industry	2.-livelihood; occupation	3.-Sangyou	4.-Industry																							
JLPT-N4	7	動物園	どうぶつえん	Noun	1.-zoo; zoological gardens	2.-Doubutsuen	3.-Zoo																								
JLPT-N4	8	美術館	びじゅつかん	Noun	1.-art gallery; art museum	2.-Bijutsukan	3.-Art museum																								
JLPT-N4	9	水道	すいどう	Noun	1.-water supply; water service; waterworks	2.-channel; strait	3.-water course; waterway	4.-Suidou	5.-Water supply																						
JLPT-N4	10	飛行場	ひこうじょう	Noun	1.-airfield; airport	2.-Hikoujou	3.-Aerodrome																								
